trait_id,GeneID,Symbol,Org_name,tax_id
transcription_factor_NCBI,2167,FABP4,Homo sapiens,9606
transcription_factor_NCBI,110806263,LOC110806263,Homo sapiens,9606
transcription_factor_NCBI,6376,CX3CL1,Homo sapiens,9606
transcription_factor_NCBI,1524,CX3CR1,Homo sapiens,9606
transcription_factor_NCBI,7494,XBP1,Homo sapiens,9606
transcription_factor_NCBI,3371,TNC,Homo sapiens,9606
transcription_factor_NCBI,3439,IFNA1,Homo sapiens,9606
transcription_factor_NCBI,3611,ILK,Homo sapiens,9606
transcription_factor_NCBI,208,AKT2,Homo sapiens,9606
transcription_factor_NCBI,6663,SOX10,Homo sapiens,9606
transcription_factor_NCBI,2670,GFAP,Homo sapiens,9606
transcription_factor_NCBI,406985,MIR200C,Homo sapiens,9606
transcription_factor_NCBI,8061,FOSL1,Homo sapiens,9606
transcription_factor_NCBI,2002,ELK1,Homo sapiens,9606
transcription_factor_NCBI,1649,DDIT3,Homo sapiens,9606
transcription_factor_NCBI,7042,TGFB2,Homo sapiens,9606
transcription_factor_NCBI,2057,EPOR,Homo sapiens,9606
transcription_factor_NCBI,406952,MIR17,Homo sapiens,9606
transcription_factor_NCBI,6775,STAT4,Homo sapiens,9606
transcription_factor_NCBI,1673,DEFB4A,Homo sapiens,9606
transcription_factor_NCBI,5592,PRKG1,Homo sapiens,9606
transcription_factor_NCBI,1025,CDK9,Homo sapiens,9606
transcription_factor_NCBI,3159,HMGA1,Homo sapiens,9606
transcription_factor_NCBI,284,ANGPT1,Homo sapiens,9606
transcription_factor_NCBI,2120,ETV6,Homo sapiens,9606
transcription_factor_NCBI,7849,PAX8,Homo sapiens,9606
transcription_factor_NCBI,5449,POU1F1,Homo sapiens,9606
transcription_factor_NCBI,6833,ABCC8,Homo sapiens,9606
transcription_factor_NCBI,3662,IRF4,Homo sapiens,9606
transcription_factor_NCBI,3973,LHCGR,Homo sapiens,9606
transcription_factor_NCBI,655,BMP7,Homo sapiens,9606
transcription_factor_NCBI,8289,ARID1A,Homo sapiens,9606
transcription_factor_NCBI,58508,KMT2C,Homo sapiens,9606
transcription_factor_NCBI,1281,COL3A1,Homo sapiens,9606
transcription_factor_NCBI,7026,NR2F2,Homo sapiens,9606
transcription_factor_NCBI,2395,FXN,Homo sapiens,9606
transcription_factor_NCBI,1616,DAXX,Homo sapiens,9606
transcription_factor_NCBI,5079,PAX5,Homo sapiens,9606
transcription_factor_NCBI,326,AIRE,Homo sapiens,9606
transcription_factor_NCBI,9112,MTA1,Homo sapiens,9606
transcription_factor_NCBI,7020,TFAP2A,Homo sapiens,9606
transcription_factor_NCBI,9076,CLDN1,Homo sapiens,9606
transcription_factor_NCBI,5627,PROS1,Homo sapiens,9606
transcription_factor_NCBI,5978,REST,Homo sapiens,9606
transcription_factor_NCBI,7054,TH,Homo sapiens,9606
transcription_factor_NCBI,7030,TFE3,Homo sapiens,9606
transcription_factor_NCBI,1435,CSF1,Homo sapiens,9606
transcription_factor_NCBI,9839,ZEB2,Homo sapiens,9606
transcription_factor_NCBI,3651,PDX1,Homo sapiens,9606
transcription_factor_NCBI,3838,KPNA2,Homo sapiens,9606
transcription_factor_NCBI,668,FOXL2,Homo sapiens,9606
transcription_factor_NCBI,2643,GCH1,Homo sapiens,9606
transcription_factor_NCBI,10657,KHDRBS1,Homo sapiens,9606
transcription_factor_NCBI,406907,MIR124-1,Homo sapiens,9606
transcription_factor_NCBI,3170,FOXA2,Homo sapiens,9606
transcription_factor_NCBI,6446,SGK1,Homo sapiens,9606
transcription_factor_NCBI,6925,TCF4,Homo sapiens,9606
transcription_factor_NCBI,7454,WAS,Homo sapiens,9606
transcription_factor_NCBI,5971,RELB,Homo sapiens,9606
transcription_factor_NCBI,3164,NR4A1,Homo sapiens,9606
transcription_factor_NCBI,10155,TRIM28,Homo sapiens,9606
transcription_factor_NCBI,3691,ITGB4,Homo sapiens,9606
transcription_factor_NCBI,23030,KDM4B,Homo sapiens,9606
transcription_factor_NCBI,1513,CTSK,Homo sapiens,9606
transcription_factor_NCBI,4654,MYOD1,Homo sapiens,9606
transcription_factor_NCBI,2668,GDNF,Homo sapiens,9606
transcription_factor_NCBI,1874,E2F4,Homo sapiens,9606
transcription_factor_NCBI,7024,TFCP2,Homo sapiens,9606
transcription_factor_NCBI,1879,EBF1,Homo sapiens,9606
transcription_factor_NCBI,111589215,LOC111589215,Homo sapiens,9606
transcription_factor_NCBI,1392,CRH,Homo sapiens,9606
transcription_factor_NCBI,246,ALOX15,Homo sapiens,9606
transcription_factor_NCBI,4853,NOTCH2,Homo sapiens,9606
transcription_factor_NCBI,405,ARNT,Homo sapiens,9606
