"ucsc","entrezgene_id"
"uc003ppb.3","253714"
"uc003pyw.1",NA
"uc003sqw.1","728194"
"uc003sym.4","3201"
"uc003tdq.1","27241"
"uc003tif.1",NA
"uc003trn.1","677803"
"uc003ttk.1","10793"
"uc003uqw.3","23660"
"uc003vlq.1","101928283"
"uc003vpu.1","93979"
"uc003vsv.2","4850"
"uc003wms.3","140545"
"uc003xfc.1","148"
"uc003yaj.1","441355"
"uc003ykw.2",NA
"uc003ymr.3","340419"
"uc003yxk.1","1585"
"uc003zop.1","3444"
"uc003zuz.3","10280"
"uc004abs.2","26149"
"uc004akc.2","5125"
"uc004amq.1","257019"
"uc004bwp.2","254295"
"uc004djg.2","6759"
"uc004dji.2","548313"
"uc004dnb.3","778"
"uc004dvb.3","54466"
"uc009wuu.2","127933"
"uc009xcy.3","55733"
"uc009xxd.2","5662"
"uc009ywg.1","677805"
"uc010dhb.3","79157"
"uc010dtt.1","170961"
"uc010dwa.3","256949"
"uc010fnh.1","22930"
"uc010gyq.3","79019"
"uc010irr.3","11086"
"uc010jcl.1","1657"
"uc010jhk.3","345611"
"uc010jpl.2","9972"
"uc010jyi.3","51069"
"uc010kfb.3","387357"
"uc010lee.1","223117"
"uc010lky.1","101928254"
"uc010mll.4","9833"
"uc010mmm.2","26149"
"uc010nyj.2","54973"
"uc010piw.2","127385"
"uc010psq.2","55733"
"uc010qao.2","1646"
"uc010rbu.1","56675"
"uc010rqf.2","116512"
"uc010rvx.1","160140"
"uc010spf.2","121364"
"uc010upl.1","4916"
"uc010vce.3","115584"
"uc010ymw.2","55676"
"uc010yui.2","431705"
"uc010ztm.2","245930"
"uc011ate.3","29995"
"uc011bvj.1","79441"
"uc011cbq.2","27163"
"uc011dsq.2","25803"
"uc011dvh.1","93643"
"uc011koc.2",NA
"uc011lgf.1","169200"
"uc011lvr.2","286362"
"uc011mbe.2","4957"
"uc011mdm.2","642968"
"uc011mxc.2","2334"
"uc011mze.1","57595"
"uc011nak.3","3563"
"uc021opv.1","388650"
"uc021osi.1",NA
"uc021plx.1","255654"
"uc021pso.1","51008"
"uc021rhh.1",NA
"uc021rim.1","400123"
"uc021rim.1","646982"
"uc021sbp.1","442909"
"uc021seo.1","113146"
"uc021tlc.1","55565"
"uc021txh.1","81870"
"uc021uba.1","100616210"
"uc021ukr.1",NA
"uc021ulr.1","100131655"
"uc021uqq.1","79036"
"uc021vdu.1","100302743"
"uc021vij.1",NA
"uc021vrc.1","4703"
"uc021vvh.1",NA
"uc021wcp.1",NA
"uc021wjz.1","727699"
"uc021wnc.1","23523"
"uc021wyg.1","1605"
"uc021wzg.1","3697"
"uc021xgh.1","389170"
"uc021xwn.1",NA
"uc021zcs.1",NA
"uc021zdo.1",NA
"uc021zih.1",NA
"uc022bvh.1",NA
"uc022cdy.1",NA
"uc022cis.1",NA
"uc031pqf.1","79957"
"uc031qto.1","100847059"
"uc031qug.1","100652749"
"uc031ree.1","22901"
"uc031rmj.1",NA
"uc031rnh.1","10520"
"uc031rnn.1","78989"
"uc031roa.1","10602"
"uc031rwg.1","23786"
"uc031rxe.1","7332"
"uc031rxn.1","7263"
"uc031spb.1","100873997"
"uc031tdg.1","100129669"
"uc031tgt.1","100093698"
"uc001afp.3","441869"
"uc001aki.3","27237"
"uc001cil.3","440584"
"uc001cnl.3","4595"
"uc001csn.3","22996"
"uc001dfx.3","101927295"
"uc001dil.1","149047"
"uc001eek.3","101928846"
"uc001eov.1",NA
"uc001evy.3","29956"
"uc001fgi.3","55891"
"uc001gcu.1","5087"
"uc001goz.3","127665"
"uc001hbt.3","388730"
"uc001hta.3",NA
"uc001ijx.1","399717"
"uc001ijy.1","399717"
"uc001ipq.1","100129213"
"uc001itf.2","387644"
"uc001jjt.3","4153"
"uc001jnr.1","64081"
"uc001kdm.1",NA
"uc001kip.4","26509"
"uc001ktt.3",NA
"uc001lkg.1",NA
"uc001mfs.1","283299"
"uc001mlt.2","796"
"uc001neq.2","8567"
"uc001nmq.1","81341"
"uc001nuf.3","79081"
"uc001nvy.1","9300"
"uc001olm.3","390212"
"uc001oud.3","58473"
"uc001pbz.3","10873"
"uc001pdu.1","85459"
"uc001pgl.3","253935"
"uc001pxw.1",NA
"uc001qel.3","100507392"
"uc001qwq.3","160364"
"uc001ref.2","121536"
"uc001rrm.3","341567"
"uc001rsb.1","677793"
"uc001sey.2","440101"
"uc001sxh.1","100130268"
"uc001sxu.3","22822"
"uc001tbj.3","196477"
"uc001trc.1",NA
"uc001ukd.1","50614"
"uc001vem.1","10301"
"uc001vem.1","100874074"
"uc001vic.1","103456507"
"uc001vxp.2","338879"
"uc001xhz.2","376267"
"uc001xpm.1",NA
"uc001zwc.3","80031"
"uc002apl.2","84465"
"uc002baw.3","1464"
"uc002bay.1",NA
"uc002cov.1","26788"
"uc002dok.3","400512"
"uc002dqc.3","246778"
"uc002ece.2","7041"
"uc002eex.1","100507534"
"uc002ekd.4","6559"
"uc002eyt.3","100506083"
"uc002fha.4","29948"
"uc002fuc.1",NA
"uc002giu.1","146754"
"uc002gjm.2","9196"
"uc002gwi.3","146802"
"uc002hcj.1","26808"
"uc002hvy.3","85294"
"uc002kld.1",NA
"uc002lex.4","83876"
"uc002mla.2","125958"
"uc002nkw.2","9454"
"uc002oqs.3","374907"
"uc002pho.1","6415"
"uc002psr.4","554235"
"uc002pvs.1","43847"
"uc002qph.3","284307"
"uc002qpu.3","201516"
"uc002qqv.3","147685"
"uc002qta.3","55663"
"uc002rjw.2","2976"
"uc002rlz.1","403150"
"uc002tfc.3","84220"
"uc002tmc.1","80775"
"uc002urs.3","84281"
"uc002usr.2","4430"
"uc002uzc.3","692110"
"uc002uzd.1","692058"
"uc002vht.3",NA
"uc002vwb.3","79781"
"uc002vwr.3","1293"
"uc002wbs.3","51078"
"uc002wzg.1","9139"
"uc002xkh.3","101927159"
"uc002xup.1","692057"
"uc002xxb.2","4159"
"uc002ydx.2","11083"
"uc002yie.1","198437"
"uc002ykn.3","246312"
"uc002ymh.3",NA
"uc002yml.3",NA
"uc002ymn.3",NA
"uc002yys.3","100506492"
"uc002zhs.2","54039"
"uc002zlr.3","387590"
"uc002zma.2","27439"
"uc002zno.1","100192420"
"uc002zuh.3","400891"
"uc002zxf.3",NA
"uc003ade.1",NA
"uc003bgs.3",NA
"uc003boy.1","101927215"
"uc003cna.4","375337"
"uc003dit.2","201625"
"uc003dxf.1",NA
"uc003ejw.4","11343"
"uc003elg.1","57501"
"uc003eoc.2",NA
"uc003ezs.1",NA
"uc003fja.1",NA
"uc003fso.2","3556"
"uc003gli.1",NA
"uc003hap.3","339978"
"uc003hym.1","107986298"
"uc003hzj.4","100533182"
"uc003ife.1",NA
"uc003isn.4","9848"
"uc003isn.4","101928198"
"uc003ito.1",NA
"uc003jdd.3","285577"
"uc003jgq.1","439936"
"uc003lji.2","56114"
"uc003ncv.1","100506885"
"uc003nzv.3","100507547"
"uc003oqv.1","7942"
"uc003qdz.3","285735"
"uc003qgs.1",NA
"uc003qrs.3","94120"
"uc003qub.3","135138"
"uc003slr.1","4521"
"uc003tck.1","223075"
"uc003ttp.1","10793"
"uc003vlv.3","101928333"
"uc003vob.1","375616"
"uc003wpk.3","9228"
"uc003xbu.1",NA
"uc003yus.1","594840"
"uc003yyy.3","65263"
"uc003ziv.1","10171"
"uc003zom.2","3452"
"uc003zos.1","3451"
"uc004bad.1","101928438"
"uc004bdc.1",NA
"uc004bmu.1","254973"
"uc004cmf.1","142680"
"uc004crz.3","26609"
"uc004dfw.1","101927501"
"uc004dta.2","54954"
"uc004dwg.1","115891964"
"uc004eao.2","5303"
"uc004ezj.3","10479"
"uc004fnl.3","100507404"
"uc004fnl.3","101927830"
"uc004fov.3","6473"
"uc009voh.3","200197"
"uc009vqi.1","9923"
"uc009vye.2","8438"
"uc009yya.3","5962"
"uc009zfx.2","360030"
"uc009ztj.3","4048"
"uc009zuw.3","1240"
"uc010cag.2","79759"
"uc010dnn.2","494470"
"uc010hsr.3","166348"
"uc010jhv.2","153201"
"uc010jlj.4","729678"
"uc010lpq.1","29803"
"uc010lro.1","100132396"
"uc010moc.3","653427"
"uc010nuo.4","3897"
"uc010olk.2","400752"
"uc010plz.2","80133"
"uc010qyt.2","401667"
"uc010rei.2","55346"
"uc010ria.2","283093"
"uc010rkd.2","219960"
"uc010rsk.2","4975"
